plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_lantadene_a,compound_lantadene_b,compound_lantadene_c,compound_lantadene_d,compound_icterogenin,compound_luteolin,compound_hispidulin,compound_quercetin,compound_kaempferol,compound_caffeic_acid,compound_chlorogenic_acid,compound_caryophyllene,compound_alpha_humulene,compound_alpha_pinene,compound_camphene,compound_linalool,agg_mw,agg_tpsa,agg_logp,agg_hbd,agg_hba,agg_rotatable_bonds,agg_aromatic_rings,agg_heavy_atom_count,agg_fraction_csp3
humulus scandens,root,ethyl_acetate,Soxhlet extraction,2.0,a. philoxeroides,,58.62016123959842,0.31,0.17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4606800166875261,0.0,0.5060853617872624,0.5435008012065228,0.2509382384283927,0.0,0.1843480717615482,0.0,0.0,258.7046261744334,97.3553181985647,1.5296713772334103,3.640436849127238,4.672720298812527,2.003437174688858,1.2498384010278114,18.62024951177595,0.26191348628918304
acmella oleracea,aerial,ethanol,solvent extraction,50.9737,lactuca sativa,,21.90458494283071,15.980077064932114,19.487301534987918,50.98,0.0,0.0,0.0,0.0,0.0,0.6377944548676256,0.0,0.5588235294117647,0.0,0.6848949649883294,0.0,0.0,0.0,0.0,0.0,0.0,252.37633630496663,104.99135238338076,1.7993517725818122,3.932994649000087,5.204968870325654,1.3640128893372159,2.271974221325568,18.384904423639576,0.0
lantana camara,leaf,aqueous,aqueous extraction,9.9145,zea mays,,55.91124722354832,49.37248813513089,58.91810463186685,17.28,0.7731558744993324,0.725845662290755,0.885480913485581,0.7593880389429764,0.6894824707846411,0.9508025849489264,0.8179538615847542,0.3718189403420943,0.9215140551071528,0.5110036678892964,0.5334150249787916,0.9171106889681696,0.7813197544642857,0.3292131657013702,0.3088318284424379,0.532540675844806,297.2286774564159,62.67265605873029,3.911036745984561,1.83941158159262,3.238411190436741,1.6876027947725898,0.9465078399617832,21.60368587895985,0.455532661698453
lantana camara,leaf,ethanol,solvent extraction,24.8084,zea mays,,43.94936130389711,30.929876185171334,39.09683193551427,51.43,0.9547313084112148,0.8829617281378065,0.8068011335222537,0.7304589707927677,0.7808848080133556,0.9188034188034188,0.9503510531594784,0.4787234042553192,0.6802115224046758,0.5114204734911637,0.5849750212084079,0.8365380160311356,0.9118303571428572,0.405353863540048,0.368510158013544,0.6581143095536087,296.36973110975396,61.37885669224268,3.925331480056459,1.7810338325340753,3.1708016234101923,1.7118565985052498,0.8883131695996045,21.530744649221965,0.47044511699600333
lantana camara,leaf,aqueous,aqueous extraction,4.9329,oryza sativa,,71.28183063097492,65.39715296669947,79.6345100082318,3.54,0.8925650867823766,0.8418420504271723,0.8844807467911319,0.9744089012517384,0.7013772954924875,0.9464248488638732,0.6957539284520227,0.4809136420525657,0.9343167269691066,0.574108036012004,0.7122254689414648,0.7294630032896261,0.8360770089285715,0.2871874558553468,0.3843115124153499,0.5569461827284106,305.22767792774835,65.4492703253791,3.9273513347626863,1.9081762411485244,3.355510826402941,1.7569067417233464,0.9148174670371397,22.1608138227203,0.4624937228093116
lantana camara,stem,aqueous,aqueous extraction,10.3902,zea mays,,75.91487138589287,59.42404435452957,74.61615607044463,20.38,1.0,0.6880600125026047,0.9424904150691782,0.8809457579972183,0.913188647746244,0.9483010214717532,0.6877298562353727,0.4633917396745932,0.7937656554411355,0.4608202734244748,0.5734753511169761,0.9677987304823242,0.7025669642857142,0.2886000847577342,0.3895316027088036,0.6812682519816438,299.0876121634808,60.81585618642728,4.004355629803798,1.7610896895321413,3.1293355941272285,1.749875980813004,0.8534454804949114,21.727349536616003,0.47940523132141366
ageratina adenophora,leaf,aqueous,aqueous extraction,4.9636,oryza sativa,,42.91166763942077,42.49615119169479,53.012302783723264,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998957029620359,0.0,0.6675558519506501,0.0,0.2934253810869666,0.2509765625,0.0,0.0,0.0,223.8540471560475,68.68312194461976,2.597033237398022,2.6299832752090166,3.2140235606658827,1.2433498484629435,1.266021282040916,16.313813276649,0.18985544506360472
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,0.0,triticum aestivum,,57.257536846205205,52.81660078206148,64.20127512495807,19.76,0.0,0.0,0.0,0.0,0.0,0.4633104023347926,0.0,0.6630162703379224,0.0,0.8543681227075692,0.8002639268545575,0.2238335727192698,0.0,0.0,0.0,0.0,273.57657098030796,112.10779860550342,1.3519346088099988,4.171007397524706,5.453352671614072,2.083322767013736,1.6751946801890825,19.713319619038586,0.14807428172248083
lantana camara,stem,aqueous,aqueous extraction,51.9372,zea mays,,26.60083982651836,17.562580538284244,23.46359772556505,12.96,0.7326435246995994,0.6757657845384455,0.8513085514252376,0.9012517385257302,0.8841819699499166,0.686366479049406,0.6955867602808424,0.4550479766374636,0.9565822432507654,0.428809603201067,0.6039211989819965,0.8363990177454479,0.9833984375,0.3189009747139426,0.3067155756207674,0.6236962870254485,298.2089219712659,61.116735951757605,3.975757544333291,1.7761303846287075,3.14685328795397,1.7159694636286418,0.860419147390526,21.66338326330299,0.47527215404149736
ageratina adenophora,leaf,aqueous,aqueous extraction,49.1408,oryza sativa,,16.949489718517462,13.172324980186923,15.264545502501338,17.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047142261159784,0.0,0.6194564854951651,0.0,0.3031089283232173,0.2374441964285714,0.0,0.0,0.0,230.10126376715831,72.30830933733473,2.5999659031224365,2.766404854102832,3.4517406711361476,1.2164714281039661,1.3790254960564876,16.77105109094704,0.18358899403631318
lantana camara,root,aqueous,soil water extraction,0.0,oryza sativa,,80.45958516085757,10.8,27.7,,0.7038134178905207,0.7418906716677085,0.9311551925320888,0.9504867872044506,1.0,0.8262455701480091,0.8340020060180541,0.4017521902377973,0.8577790147509045,0.5105868622874291,0.748703930624941,0.9703006996247048,0.9346400669642856,0.3476479728775251,0.2844243792325056,0.5208594075928243,300.83752051616926,62.423852642574836,3.952854542096981,1.8110741044747214,3.2091275392096614,1.7315726621632863,0.8663418784968446,21.84944676174759,0.4738961055990759
lantana camara,leaf,aqueous,aqueous extraction,9.8147,zea mays,,60.09093270531345,49.27533660721336,68.24805838137095,13.89,0.9544392523364488,0.8162811696881295,0.7599599933322221,0.9532684283727398,0.7979966611018364,0.8084219303731499,0.9796054831160148,0.4176053400083437,0.9922070693014194,0.4519006335445148,0.6610425110755019,0.6844275587267757,0.9861886160714284,0.3201017092809719,0.2950056433408578,0.6268251981643722,302.6846891356184,64.0994440419071,3.935976727580774,1.8557911573372445,3.317157120629559,1.746026178359639,0.9305697228252559,21.984764040031354,0.4630831338718147
lantana camara,leaf,aqueous,aqueous extraction,24.7653,zea mays,,39.85482642867654,32.61362583857562,40.69892620234644,18.33,0.785130173564753,0.904007779398486,0.6729454909151525,0.8141863699582753,0.882721202003339,0.831874087971649,0.7691407556001337,0.4134334584897789,0.7881992763707208,0.4450650216738913,0.5400131963427279,0.7348376036695548,0.890625,0.3849413759005509,0.4166196388261851,0.650604922820192,300.43958199449537,61.34457701620694,4.0029231584369995,1.7554978320394072,3.162123195965594,1.7214301354776067,0.8598246072749289,21.822534009933534,0.4799303449183695
lantana camara,leaf,aqueous,aqueous extraction,2.488,zea mays,,68.62470387420537,64.70328967084053,81.04232321402726,21.8,0.8682827102803738,0.9214419670764744,0.7617936322720454,0.9304589707927676,0.8789649415692821,0.7820512820512822,0.8095954530257439,0.3504380475594493,0.9293069858057332,0.5886962320773591,0.5336978037515318,0.793216883658435,0.8472377232142857,0.3663653058341574,0.3548250564334086,0.5060492282019191,303.8963168917569,62.13283463652173,4.040983394497826,1.7629499344427995,3.1921729160768644,1.71246061931235,0.8675996275275117,22.076123524940954,0.47571584435246167
chromolaena odorata,leaf,aqueous,aqueous extraction,4.9496,zea mays,,66.21459162585045,61.15169600079042,73.75465714699781,16.22,0.0,0.0,0.0,0.0,0.0,0.6404002501563477,0.0,0.7367542761785566,0.0,0.4228909636545515,0.0,0.2774869109947644,0.0,0.3196779206102557,0.0,0.0,244.10458656556995,83.77726436572625,2.3908443126361654,3.134495628019802,4.283459916992917,1.0430554808289183,1.89985605419469,17.83279516362588,0.17861959504043173
lantana camara,leaf,ethyl_acetate,solvent extraction,105.0987,sorghum bicolor,,7.9217271615867215,5.06739564896542,6.9045613424182894,32.71,0.7233811748998665,0.9918733069389456,0.7517919653275545,0.909596662030598,0.9334307178631052,0.9037940379403794,0.921765295887663,0.4899874843554443,0.9707765098803228,0.5148382794264755,0.6807427655763975,0.8111013297502665,0.9441266741071428,0.3954654612233366,0.3172968397291196,0.7413433458489779,301.4041572755617,63.996969777538624,3.9137897278127958,1.8621506443669555,3.302510523588394,1.7492183895338997,0.9211118889865928,21.888753355241334,0.46448158127763706
lantana camara,root,aqueous,rhizospheric soil,0.0,triticum aestivum,,33.3,7.3,13.1,,0.8821762349799732,0.9558935889421408,0.9998333055509252,0.8723226703755216,0.9649415692821368,0.7680842193037315,0.7922099632230023,0.3731748018356279,0.9229056498747564,0.5861953984661553,0.6592515788481478,0.9179910114441922,0.7746930803571428,0.321090549512643,0.3441027088036117,0.533375052148519,303.8875537811706,62.159938902776005,4.021389345575443,1.772133142106656,3.1861564250046914,1.744620331527487,0.8411353997500006,22.067577550286813,0.4816073426442577
lantana camara,leaf,aqueous,aqueous extraction,24.1216,oryza sativa,,39.33296794697949,33.719456563210784,35.822831138495175,19.32,0.69505173564753,0.8323956379801347,0.9628271378563094,0.8778859527121001,0.8418196994991652,0.8576193454242235,0.8099297893681042,0.4273049645390072,0.7823545783467855,0.4579026342114038,0.5915731925723442,0.9681230598155957,0.9634486607142856,0.4180675236615341,0.4136568848758465,0.5577805590321235,298.93179728093776,60.218050952421734,4.02018566471918,1.7258285213270077,3.1040839094364223,1.6864164380046947,0.8449398148206364,21.71997886380602,0.48219964651245056
lantana camara,leaf,aqueous,aqueous extraction,101.3578,zea mays,,8.357344055500965,5.873823689120923,7.466104561802506,7.71,0.8525534045393859,0.8741404459262346,0.87031171861977,0.8756606397774687,0.7128547579298832,0.7393162393162394,0.8990304246071548,0.4856070087609512,0.7664903979961035,0.5139213071023674,0.6043924969365633,0.8960756150674142,0.9564034598214286,0.2934736544709705,0.3256207674943566,0.6921151439299125,300.1603210152598,61.578486088993756,3.9884028076996425,1.773121674729072,3.172971382902505,1.7500420338848985,0.8619188275842057,21.80089102902474,0.47503479538330595
chromolaena odorata,leaf,aqueous,aqueous extraction,10.0546,zea mays,,59.86074720401941,53.43012479782727,73.35399144462373,9.19,0.0,0.0,0.0,0.0,0.0,0.6332082551594748,0.0,0.9712140175219024,0.0,0.4311437145715238,0.0,0.2641430755687347,0.0,0.2836558835993784,0.0,0.0,250.8295293058793,89.60129396480085,2.332799862120277,3.3608624534409905,4.602980625636629,1.0570913649565752,2.0300695571027414,18.314208890954344,0.15156099066177126
lantana camara,leaf,aqueous,aqueous extraction,50.3834,oryza sativa,,25.831677410349563,17.109065592409035,22.440353978215413,22.41,0.7916388518024032,0.6820170868931028,0.9291548591431904,0.8122392211404729,0.8140651085141903,0.8214509068167606,0.9450016716817116,0.4478514810179391,0.8828277205677707,0.5301767255751917,0.5992082194363276,0.740582866144651,0.9416852678571428,0.3865658991382963,0.3457957110609481,0.5561118064246976,295.9719131621975,62.509997513768425,3.880410029660751,1.8321011660671558,3.2306921946577427,1.6983394288714873,0.9282410188030943,21.50572675974363,0.45869153547113345
rhazya stricta decne,leaves,dry powder,sandwich method,0.0,phalaris minor,minor,31.0,78.03551273462116,89.68377355898997,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4890488110137672,0.0,0.5561853951317105,0.4611179187482326,0.2420423481443729,0.0,0.1724819889814945,0.0,0.0,254.17284394079996,95.50827910145517,1.5969934900013953,3.581962655588643,4.57126805710625,1.9199223361491242,1.2933938210212308,18.316893596590972,0.24139371991387
tomato,Roots,pda,Food poisoning technique,0.01,tomato,Peto 86,74.16004451076117,67.44732377519696,80.4875068975683,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4765331664580726,0.0,0.5932810936978993,0.5586765953435762,0.2027058332947227,0.0,0.2198756886565899,0.0,0.0,254.7107878240231,97.8867961374734,1.433378918913458,3.663726725618951,4.673159423540846,1.9992017900505017,1.258637782263021,18.326110546315824,0.249469863376878
lantana camara,leaves,aqueous,crushed and soaked,25.0,oryza sativa,,93.4,38.57331065000216,52.53161660007434,,0.9594042056074766,0.674793359727721,0.8403067177862978,0.8222531293463142,0.8981636060100168,0.8063372941421723,0.7082915412905383,0.4664163537755528,0.947676036738102,0.4570690230076691,0.608068620982185,0.8554881156465737,0.9984654017857144,0.3682723548523803,0.3343679458239277,0.607008760951189,295.05188493931087,60.57243215454361,3.940734224624258,1.7716814119372468,3.1198788692946926,1.6857282669668545,0.8677739100188275,21.4383463668242,0.47280037543881526
chromolaena odorata,leaf,aqueous,aqueous extraction,9.9975,oryza sativa,,66.05961252396818,57.32911702292191,71.93309965011882,16.13,0.0,0.0,0.0,0.0,0.0,0.7453616843860746,0.0,1.0,0.0,0.4039679893297765,0.0,0.3014409488949636,0.0,0.2351320808023732,0.0,0.0,255.61397493728433,91.44210418493525,2.374469261993699,3.422815984306101,4.722462231482595,1.0628600240480977,2.0998724322071465,18.6696502550548,0.140708943985958
chromolaena odorata,leaf,aqueous,aqueous extraction,0.0,zea mays,,69.76937692239211,65.50658832400777,82.13097258169566,20.13,0.0,0.0,0.0,0.0,0.0,0.6675005211590578,0.0,0.7924488944513977,0.0,0.4689896632210737,0.0,0.3304452578418199,0.0,0.3256109620002825,0.0,0.0,244.09782723966296,83.07328683104305,2.419431082315203,3.1099536431193453,4.2395103710248545,1.0554657493165882,1.8757627576887248,17.83226465019513,0.1806852377891443
lantana camara,leaf,aqueous,aqueous extraction,26.4569,zea mays,,42.94637705316726,31.727453925587277,37.275835402636034,16.34,0.9369158878504672,0.979162325484476,0.8689781630271712,0.9045897079276772,0.9060934891485808,0.6801125703564729,0.8340020060180541,0.354401335002086,0.7475647091566936,0.5495998666222074,0.5623527193891978,0.9516285965806424,0.8611188616071429,0.3127560389885577,0.330558690744921,0.7259073842302879,301.9852891595158,59.34644930527638,4.097106672903541,1.663392910653552,3.0439792762020224,1.772763104367682,0.7787584819287179,21.92947469757214,0.49579086718395704
lantana camara,leaf,methanol,solvent extraction,10.1404,lactuca sativa,,49.09364879916791,43.631601009478864,53.14470262437509,61.36,0.7188334445927903,0.9257484198096824,0.7161193532255377,0.972461752433936,0.8407762938230384,0.7617260787992496,0.8085924439986626,0.3878806841885691,0.9345950459226272,0.5916972324108035,0.7588839664435857,0.6709447250150582,1.0,0.313956773555587,0.306010158013544,0.7046307884856071,303.48935228376934,64.57419580459069,3.9099359199378627,1.8726749167455492,3.308627230728457,1.7946045818660017,0.8787426160120744,22.026903324048646,0.46824450763198344
eucalyptus globulus,leaf,aqueous,aqueous extraction,2.5494,hordeum vulgare,,61.18585630940407,54.9597166149054,65.79322519918887,21.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3857119039679893,0.9660665472711848,0.3547699578371867,0.0,0.8951829354428592,0.8621613995485327,0.708802670004172,230.91218107423754,55.020057165310796,2.4518529016103994,1.9396139814124496,2.6092757268318425,2.2198136651795295,0.32395809353360905,16.60786604002613,0.555490517523181
lantana camara,leaf,aqueous,aqueous extraction,2.5319,oryza sativa,,74.43200213381297,64.91428240672842,85.61534261786244,8.92,0.7259679572763684,0.921789261651733,0.7869644940823471,0.928789986091794,0.7366444073455759,0.7276422764227642,0.8457037780006686,0.4517104714226116,0.8600055663790703,0.4187229076358786,0.750683382034122,0.766853542139647,0.8554687499999999,0.3297075858172058,0.3470654627539503,0.5686274509803922,307.07381658595773,64.96398267237792,3.9597520345699913,1.8711125146860688,3.346803161874387,1.7754833654310245,0.8913339705909651,22.290546023394263,0.4745183805786993
chromolaena odorata,leaf,aqueous,aqueous extraction,0.0,oryza sativa,,77.15273901800188,65.70196072788937,83.1421612494984,15.07,0.0,0.0,0.0,0.0,0.0,0.5229309985407548,0.0,0.7826449728827701,0.0,0.4164721573857953,0.0,0.3155261085113283,0.0,0.2438903799971747,0.0,0.0,247.10496298250666,84.72909857847922,2.432648756046885,3.1796966192983365,4.324203495726172,1.0756451693699787,1.8993062784162944,18.046668517640057,0.17263317053094016
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.0,triticum aestivum,,56.4171015275041,55.56340657039674,63.4269020723888,26.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4234744914971657,0.991987934772363,0.3424454431728675,0.0,0.8032914253425625,0.7700338600451467,0.91093032957864,228.60326831043682,56.12466802605067,2.365634393979717,2.008008030344482,2.6572073692458953,2.3771967505204836,0.3336652232927345,16.424483884192504,0.5433186392104272
lantana camara,leaf,aqueous,aqueous extraction,99.495,phaseolus vulgaris,,9.942966246941396,5.976242120830011,8.002681156675736,13.53,0.8754172229639519,0.8382996457595333,0.903817302883814,0.8358831710709318,0.9697412353923206,0.7818428184281844,0.8421932464058843,0.3825615352523989,0.934873364876148,0.4998332777592531,0.7721745687623716,1.0,0.7079380580357142,0.4028817629608702,0.360186230248307,0.7167292448894452,299.0934681715421,62.16716625590901,3.9137304320161754,1.8084927649391649,3.1955595626294797,1.7848838191856073,0.853865233259184,21.715655471846983,0.47951265736642656
melilotus indica,whole plant,aqueous,water extraction,50.0,wheat,wheat,81.0,21.00460135197526,26.357967681485583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274092615769712,0.0,0.5517672557519173,0.5328494674333113,0.2210536070055136,0.0,0.1924706879502754,0.0,0.0,255.42374629055809,97.0303679605924,1.4721852025687001,3.629842831610781,4.627229125933793,2.0167716681946715,1.2291782421089437,18.37779187003625,0.25579838985397757
eucalyptus globulus,leaf,aqueous,aqueous extraction,9.9668,hordeum vulgare,,53.50408052959602,41.83648661174583,53.83442267364702,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945481827275758,0.9221415779055518,0.3358198582217486,0.0,0.8410086170363046,0.7652370203160271,0.7480183562786817,228.70496857745457,55.12980567152731,2.4085487561065353,1.9584662476561046,2.609743416896552,2.2663998200387123,0.32861596086438855,16.443754049384506,0.5497170952495144
lantana camara,leaf,aqueous,aqueous extraction,0.0,zea mays,,68.96617979696727,60.71320680699684,72.77193766613702,7.77,0.8308578104138853,0.714037646731958,0.7176196032672112,0.8970792767732962,0.6836393989983305,0.9481967896602044,0.8179538615847542,0.4928035043804756,0.8853325911494573,0.4233077692564188,0.7614289753982467,0.9186396701107354,0.7651367187499999,0.3298488487074446,0.355530474040632,0.7123487692949521,300.1961351327059,64.9955544490976,3.8437565335432393,1.9289357361977535,3.3551595872873206,1.7820410558566522,0.9434709264319017,21.79911661475903,0.45865129817782646
lantana camara,leaf,ethanol,solvent extraction,0.0,zea mays,,60.41263196044318,58.34776977046177,66.83975487669541,54.32,0.9473047396528704,0.7141765645620616,0.8423070511751959,0.7243393602225313,0.9409432387312188,0.8049822805920367,0.9441658308258106,0.3766166040884439,0.9919287503478988,0.5571023674558185,0.7832029408992365,0.7530463790946579,0.8379603794642857,0.3039977397937562,0.362020316027088,0.5886524822695036,296.93353183189765,64.29108662699491,3.800971211522314,1.904269780924948,3.312309348849423,1.7582707534197575,0.9320684647214177,21.562298732279707,0.45597744764244397
