feature,endpoint,mean_abs_shap,mean_shap,direction,biological_hypothesis
compound_caryophyllene,germination_percent,0.041568008065540056,0.0004168665250270258,positive,
bio_score_allelopathic,germination_percent,0.03388091820970009,0.01072229576009922,positive,Allelopathic compounds drive inhibition at higher doses
agg_tpsa,germination_percent,0.025154100384888276,0.00019840518359920005,positive,High TPSA → poor membrane permeability → reduced bioavailability
agg_fraction_csp3,germination_percent,0.022640841610770245,0.0007386928682461253,positive,
agg_hba,germination_percent,0.021787367362976102,-0.005858095305820739,negative,
compound_chlorogenic_acid,germination_percent,0.02069268151048463,0.0031370910210037056,positive,
agg_hbd,germination_percent,0.02038857671775469,-0.005878884289834749,negative,
terpenoid_total,germination_percent,0.01696583161859196,-0.0013811423901703857,negative,
bio_score_antimicrobial,germination_percent,0.016225796210571276,0.008816305069920333,positive,
compound_chlorogenic_acid_x_compound_caffeic_acid,germination_percent,0.015725746480203473,0.0006355353364054859,positive,
compound_caryophyllene_x_compound_caffeic_acid,germination_percent,0.015689917733091294,-0.0002747797708321825,negative,
phenolic_total,germination_percent,0.015098805885033241,0.0020185275408445935,positive,
compound_quercetin,germination_percent,0.01333306545357813,0.0011657833169254107,positive,Quercetin promotes germination at low doses; allelopathic at high doses
compound_caffeic_acid,germination_percent,0.013124973349995527,-0.0009859180341440057,negative,
compound_lantadene_a,germination_percent,0.012515146553236944,-0.004754582465377471,negative,Lantadene A drives inhibition; known hepatotoxic triterpenoid
agg_aromatic_rings,germination_percent,0.012490608945374309,-6.186927158195067e-05,negative,
terpenoid_total_x_phenolic_total,germination_percent,0.010642058201584747,-0.0060320577426885924,negative,
compound_alpha_humulene,germination_percent,0.007996212650131382,-0.0020669754289120985,negative,
compound_camphene,germination_percent,0.006410551455647444,0.001350111114874053,positive,
compound_lantadene_c,germination_percent,0.006407324588622676,-0.00015987366177877524,negative,
compound_hispidulin,germination_percent,0.005379701190367108,0.00020832544810329588,positive,
compound_caryophyllene_x_compound_chlorogenic_acid,germination_percent,0.004561912951709943,0.0010278202529097012,positive,
compound_lantadene_d,germination_percent,0.004548773120789593,-0.001282683092536418,negative,
compound_linalool,germination_percent,0.0017063562420818028,3.7024018046341294e-05,positive,
compound_luteolin_x_compound_chlorogenic_acid,germination_percent,0.0014229361437889455,-0.0002407272732891085,negative,
max_tanimoto_to_known_bioactive,germination_percent,0.0,0.0,negative,
species_donor_acmella_oleracea,germination_percent,0.0,0.0,negative,
species_donor_chromolaena_odorata,germination_percent,0.0,0.0,negative,
species_donor_eucalyptus_globulus,germination_percent,0.0,0.0,negative,
species_donor_lantana_camara,germination_percent,0.0,0.0,negative,
species_donor_other,germination_percent,0.0,0.0,negative,
species_donor_parthenium_hysterophorus,germination_percent,0.0,0.0,negative,
incubation_temp_c,germination_percent,0.0,0.0,negative,
incubation_days,germination_percent,0.0,0.0,negative,
osmotic_inhibition_score,germination_percent,0.0,0.0,negative,Osmotic stress confound; expected negative effect at high concentration
concentration_cubed,root_length_mm,2.203752331946972,0.08835476759339111,positive,
concentration_squared,root_length_mm,2.0991992174234,-0.027608593632425647,negative,High-concentration inhibition consistent with hormetic phytotoxicity
concentration,root_length_mm,1.995403384783748,0.01913881409029536,positive,Linear dose-response component
concentration_x_compound_caffeic_acid,root_length_mm,1.8181853635462233,-0.11940259646469603,negative,
log_concentration,root_length_mm,1.702725781416552,0.05238108863948123,positive,Log-linear dose-response; Weber-Fechner law
concentration_x_agg_logp,root_length_mm,1.5234035979737406,-0.10850656969729187,negative,
concentration_x_agg_tpsa,root_length_mm,1.4225736673140725,0.11498719569952025,positive,
concentration_x_phenolic_total,root_length_mm,0.9983068267294035,-0.053278682818850634,negative,
concentration_x_compound_chlorogenic_acid,root_length_mm,0.76690156133122,0.09462039354142592,positive,
concentration_x_flavonoid_total,root_length_mm,0.729637769217391,0.06257314381996941,positive,
concentration_x_compound_caryophyllene,root_length_mm,0.664980628528927,-0.04935931576408845,negative,
conc_bin_high,root_length_mm,0.6265788131749118,-0.13388437878190432,negative,
concentration_x_compound_luteolin,root_length_mm,0.5312967186077187,0.0916499405751383,positive,
log_concentration_x_agg_logp,root_length_mm,0.3134028500274688,0.06586470364785832,positive,
conc_bin_low,root_length_mm,0.26282609193062045,-0.06545348573832903,negative,
bio_score_auxin_modulation,root_length_mm,0.250529890643455,0.010825184647620643,positive,
compound_luteolin_x_compound_caryophyllene,root_length_mm,0.24511772395568102,0.00715508554844517,positive,
bio_score_antioxidant,root_length_mm,0.2380627479914068,0.009234762518649174,positive,Antioxidant compounds stimulate ROS scavenging at low concentrations
compound_luteolin,root_length_mm,0.2378179409992851,-0.002460213698677877,negative,Luteolin antioxidant activity may stimulate ROS scavenging
agg_hbd,root_length_mm,0.22772356641037175,0.007489482529350466,positive,
concentration_x_terpenoid_total,root_length_mm,0.2177213698143975,0.03187159593703227,positive,
compound_quercetin,root_length_mm,0.21594397630701434,-0.020326673510383197,negative,Quercetin promotes germination at low doses; allelopathic at high doses
flavonoid_total,root_length_mm,0.20832084327232478,0.026574153439760363,positive,
bio_score_ros_scavenger,root_length_mm,0.19599912145863943,0.0019064873140027666,positive,
agg_tpsa,root_length_mm,0.194824796737848,0.003706728743512801,positive,High TPSA → poor membrane permeability → reduced bioavailability
terpenoid_total_x_flavonoid_total,root_length_mm,0.18824610946032028,0.009182477132323383,positive,
flavonoid_total_x_phenolic_total,root_length_mm,0.16436109721114242,-0.006212061946309464,negative,
agg_mw,root_length_mm,0.16140167038232703,-0.039804564023808504,negative,
bio_score_enzyme_inhibition,root_length_mm,0.14851669083250718,0.004257493163928584,positive,
agg_hba,root_length_mm,0.13566729267074906,-0.04246269181547407,negative,
phenolic_total,root_length_mm,0.13443058328802324,-0.012260859841674191,negative,
compound_lantadene_b,root_length_mm,0.1276609800273023,-0.011425625347202,negative,
agg_heavy_atom_count,root_length_mm,0.12049160784705677,0.024078588926006027,positive,
compound_chlorogenic_acid_x_compound_caffeic_acid,root_length_mm,0.11808628698927252,-0.0013357632328470448,negative,
agg_logp,root_length_mm,0.11102352726911337,-0.0026778657192787396,negative,High LogP → membrane accumulation; may enhance or disrupt cell function
compound_luteolin_x_compound_caffeic_acid,root_length_mm,0.11098562674383881,0.008647788090994292,positive,
compound_caffeic_acid,root_length_mm,0.09867768798823813,0.01659260531316108,positive,
bio_score_allelopathic,root_length_mm,0.0942904219782872,-0.0003542210237082105,negative,Allelopathic compounds drive inhibition at higher doses
compound_alpha_pinene,root_length_mm,0.09426913107865365,0.002407024551710352,positive,
compound_lantadene_a,root_length_mm,0.08780614941665595,-0.0034584698957908335,negative,Lantadene A drives inhibition; known hepatotoxic triterpenoid
compound_kaempferol,root_length_mm,0.08626475574244138,0.010101725558169251,positive,
compound_lantadene_c,root_length_mm,0.08577453493135928,-0.012069483021347575,negative,
bio_score_antimicrobial,root_length_mm,0.08233221101213568,0.046300428268252314,positive,
compound_chlorogenic_acid,root_length_mm,0.0807825675740496,0.010964929740194557,positive,
compound_lantadene_d,root_length_mm,0.0803068865323683,-0.0031024461872343955,negative,
compound_caryophyllene_x_compound_caffeic_acid,root_length_mm,0.07675545342990069,0.033430989319416085,positive,
compound_caryophyllene,root_length_mm,0.07361587162055984,0.013080035485696308,positive,
agg_fraction_csp3,root_length_mm,0.06405582774473197,-0.009148356688878251,negative,
agg_aromatic_rings,root_length_mm,0.06403259616325205,-0.020316791117561687,negative,
agg_rotatable_bonds,root_length_mm,0.06333500981623937,0.019595997725856087,positive,
compound_icterogenin,root_length_mm,0.06134479055319074,-0.006194768436408969,negative,
osmotic_correction_approximate,root_length_mm,0.060068956458291835,-0.02163162909961125,negative,
terpenoid_total,root_length_mm,0.0557111313168843,0.0021902125017275,positive,
compound_linalool,root_length_mm,0.054661475346508594,0.016816396744430438,positive,
compound_caryophyllene_x_compound_chlorogenic_acid,root_length_mm,0.0468905692252549,0.0030033574132306887,positive,
terpenoid_total_x_phenolic_total,root_length_mm,0.044641962322437626,-0.019702574207501187,negative,
compound_luteolin_x_compound_chlorogenic_acid,root_length_mm,0.04251092091318917,0.0004991091012491,positive,
bio_score_membrane_disruption,root_length_mm,0.0421309500559666,-0.00724428918907313,negative,
compound_camphene,root_length_mm,0.036913560115125366,0.015144781668384146,positive,
compound_alpha_humulene,root_length_mm,0.031164514275873047,-0.0031386568817861286,negative,
species_donor_other,root_length_mm,0.029897599298270277,0.016001018969467696,positive,
conc_bin_medium,root_length_mm,0.02272613201077711,-0.005638063161986172,negative,
compound_hispidulin,root_length_mm,0.021375039466670152,0.0006375619363270503,positive,
species_donor_ageratina_adenophora,root_length_mm,0.01489764640946628,0.003334649264018265,positive,
species_donor_chromolaena_odorata,root_length_mm,0.005256755291712466,-0.0005185243537600679,negative,
species_donor_acmella_oleracea,root_length_mm,0.0016496921006073887,0.000771528670917372,positive,
species_donor_eucalyptus_globulus,root_length_mm,0.0011291924339904293,-0.00038094790355173226,negative,
species_donor_lantana_camara,root_length_mm,0.000380105364071572,-2.311542128789929e-05,negative,
max_tanimoto_to_known_bioactive,root_length_mm,0.0,0.0,negative,
species_donor_parthenium_hysterophorus,root_length_mm,0.0,0.0,negative,
incubation_temp_c,root_length_mm,0.0,0.0,negative,
incubation_days,root_length_mm,0.0,0.0,negative,
osmotic_inhibition_score,root_length_mm,0.0,0.0,negative,Osmotic stress confound; expected negative effect at high concentration
concentration_cubed,shoot_length_mm,2.9351185222944918,0.15570313857361867,positive,
log_concentration,shoot_length_mm,2.5080549505972956,0.12129480806179614,positive,Log-linear dose-response; Weber-Fechner law
concentration_squared,shoot_length_mm,2.329816384853521,0.09985810754454144,positive,High-concentration inhibition consistent with hormetic phytotoxicity
concentration_x_compound_caffeic_acid,shoot_length_mm,2.2914026411009045,-0.028390623142945146,negative,
concentration_x_agg_logp,shoot_length_mm,2.155150747689948,-0.14625913022688522,negative,
concentration,shoot_length_mm,2.082151269189285,0.02543960637811563,positive,Linear dose-response component
concentration_x_agg_tpsa,shoot_length_mm,1.5884543312295458,0.020401304274429433,positive,
concentration_x_phenolic_total,shoot_length_mm,1.277582393244772,-0.19978553779377128,negative,
concentration_x_flavonoid_total,shoot_length_mm,1.118712232603639,0.06802230732304582,positive,
concentration_x_compound_chlorogenic_acid,shoot_length_mm,0.811980688959825,0.14475976764647142,positive,
concentration_x_compound_caryophyllene,shoot_length_mm,0.7748700485014742,-0.01324184617968185,negative,
concentration_x_compound_luteolin,shoot_length_mm,0.7363457133621001,0.007932194370261932,positive,
conc_bin_high,shoot_length_mm,0.6768496093232643,-0.09353075142878858,negative,
log_concentration_x_agg_logp,shoot_length_mm,0.4608660814390123,-0.013089936232031094,negative,
conc_bin_low,shoot_length_mm,0.4208915685369815,-0.0985468888399761,negative,
compound_quercetin,shoot_length_mm,0.3492781542121625,-0.010529415069377058,negative,Quercetin promotes germination at low doses; allelopathic at high doses
agg_hbd,shoot_length_mm,0.33794168469427227,-0.07121375379493772,negative,
flavonoid_total,shoot_length_mm,0.3205495677175715,0.06458615552456103,positive,
compound_luteolin_x_compound_caryophyllene,shoot_length_mm,0.2742515524418306,-7.27414393373936e-05,negative,
concentration_x_terpenoid_total,shoot_length_mm,0.26966893547571563,-0.008456000964349902,negative,
compound_luteolin,shoot_length_mm,0.24186893493660225,0.039833709550590936,positive,Luteolin antioxidant activity may stimulate ROS scavenging
bio_score_auxin_modulation,shoot_length_mm,0.22198918397055153,0.012904614104192046,positive,
agg_mw,shoot_length_mm,0.20636292723738103,-0.011567019996324573,negative,
bio_score_enzyme_inhibition,shoot_length_mm,0.2057960602015023,0.053823607641378605,positive,
agg_tpsa,shoot_length_mm,0.19601704934643682,0.013734802671566855,positive,High TPSA → poor membrane permeability → reduced bioavailability
bio_score_ros_scavenger,shoot_length_mm,0.1923114141946028,-0.024254045091346096,negative,
compound_caryophyllene,shoot_length_mm,0.19008610769083886,0.10165097444301964,positive,
compound_chlorogenic_acid,shoot_length_mm,0.1876160723137823,0.04112771347642874,positive,
terpenoid_total_x_flavonoid_total,shoot_length_mm,0.1785667728009295,0.013675399108481654,positive,
bio_score_antioxidant,shoot_length_mm,0.17691690539756608,-0.02726914250569225,negative,Antioxidant compounds stimulate ROS scavenging at low concentrations
agg_logp,shoot_length_mm,0.17594307892636563,0.021270796155696152,positive,High LogP → membrane accumulation; may enhance or disrupt cell function
agg_heavy_atom_count,shoot_length_mm,0.17263342930905842,-0.005155895554024706,negative,
flavonoid_total_x_phenolic_total,shoot_length_mm,0.17172838521618652,-0.035923597311704754,negative,
compound_luteolin_x_compound_caffeic_acid,shoot_length_mm,0.16751035058350222,0.006860016309119185,positive,
compound_lantadene_a,shoot_length_mm,0.1552338846287814,-0.024592325318611045,negative,Lantadene A drives inhibition; known hepatotoxic triterpenoid
bio_score_allelopathic,shoot_length_mm,0.14570235815022517,0.041430380317672454,positive,Allelopathic compounds drive inhibition at higher doses
phenolic_total,shoot_length_mm,0.1357766430688996,-0.03502608756969216,negative,
compound_chlorogenic_acid_x_compound_caffeic_acid,shoot_length_mm,0.13494823664667274,0.020178657091155353,positive,
agg_hba,shoot_length_mm,0.11308077855025196,0.003817111268157686,positive,
compound_alpha_pinene,shoot_length_mm,0.11118262650363542,0.002283163500565645,positive,
agg_aromatic_rings,shoot_length_mm,0.10149575715673556,-0.024472292143290914,negative,
terpenoid_total,shoot_length_mm,0.09604176632777607,-0.030513296647460837,negative,
agg_rotatable_bonds,shoot_length_mm,0.09437471786384402,-0.03499552937056154,negative,
compound_luteolin_x_compound_chlorogenic_acid,shoot_length_mm,0.09413937212497943,0.001489288566903582,positive,
compound_caryophyllene_x_compound_chlorogenic_acid,shoot_length_mm,0.08985418647195408,-0.019051371483767728,negative,
terpenoid_total_x_phenolic_total,shoot_length_mm,0.08896018692229349,-0.019434449918662833,negative,
agg_fraction_csp3,shoot_length_mm,0.08773721977934636,0.006189284267779216,positive,
compound_caryophyllene_x_compound_caffeic_acid,shoot_length_mm,0.08756770702026834,0.007563318190104751,positive,
compound_caffeic_acid,shoot_length_mm,0.08550401503273253,0.0077430190657518895,positive,
osmotic_correction_approximate,shoot_length_mm,0.08421567203467555,-0.02773118012688139,negative,
bio_score_antimicrobial,shoot_length_mm,0.0811182620532266,0.026773691217849234,positive,
compound_lantadene_d,shoot_length_mm,0.07256414041073883,-0.009104493586423575,negative,
compound_lantadene_c,shoot_length_mm,0.06934934732952051,-0.010249218222293228,negative,
compound_lantadene_b,shoot_length_mm,0.0672176007640112,0.002562273462279008,positive,
compound_linalool,shoot_length_mm,0.06225804219364367,0.023913927955198106,positive,
compound_kaempferol,shoot_length_mm,0.05660215048467716,-0.009587201140350665,negative,
species_donor_other,shoot_length_mm,0.0514142327755471,0.030403523761682504,positive,
compound_icterogenin,shoot_length_mm,0.05084093843943921,0.0072713227758316665,positive,
bio_score_membrane_disruption,shoot_length_mm,0.05024629364242083,-0.006809048497275132,negative,
compound_camphene,shoot_length_mm,0.037215117040900275,0.01596629352888476,positive,
compound_hispidulin,shoot_length_mm,0.023557028083744932,-0.0041565420340967645,negative,
compound_alpha_humulene,shoot_length_mm,0.021713759528137644,-0.011837013496773038,negative,
conc_bin_medium,shoot_length_mm,0.011355779567096472,0.002835606900808101,positive,
species_donor_acmella_oleracea,shoot_length_mm,0.009177185195410727,0.001273878882344694,positive,
species_donor_chromolaena_odorata,shoot_length_mm,0.006830284471383529,-0.0023457316393418527,negative,
species_donor_eucalyptus_globulus,shoot_length_mm,0.0061830028742744176,-0.002137048699328844,negative,
species_donor_parthenium_hysterophorus,shoot_length_mm,0.003809683379299313,-0.00029283538187857756,negative,
species_donor_ageratina_adenophora,shoot_length_mm,0.0021118266028625895,0.0008805869586874732,positive,
species_donor_lantana_camara,shoot_length_mm,0.0012183620301600897,-0.0008857594669034338,negative,
max_tanimoto_to_known_bioactive,shoot_length_mm,0.0,0.0,negative,
incubation_temp_c,shoot_length_mm,0.0,0.0,negative,
incubation_days,shoot_length_mm,0.0,0.0,negative,
osmotic_inhibition_score,shoot_length_mm,0.0,0.0,negative,Osmotic stress confound; expected negative effect at high concentration
