plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_data,incubation_temp_c,incubation_days,tds_mg_per_ml,notes,confidence,source_file,study_id,incability_days,inculation_days,extraction_concentration,effect_on_growth,effect_on_nematodes,reference,germination_percentage,hypocotyl_length,radicle_length,total_seedling_length,total_phenic_content_mg_gae_per_g,root_biomass,shoot_biomass,root_shoot_ratio,inc,total_phenolic_content,incubation_temp,tds,tds_mg,root_length,leaf_area,stomatal_conductance,leaf_length_mm,leaf_width_mm,flower_count,flower_size_mm,seeds_per_pod,pod_length_mm,pod_width_mm,pod_weight_g,seed_weight_g,seed_count,seed_maturity_days,seed_viability_percent,seed_harvest_time,seed_storage_time,seed_storage_conditions,seed_storage_temperature,seed_storage_humidity,seed_storage_moisture_content,seed_storage_chemicals,seed_storage_pests,seed_storage_disease,seed_storage_other,root_length_cm,root_mass_g,leaf_length,leaf_width,seed_weight,seed_size,seed_shape,seed_color,seed_maturity,seed_ripening,seed_harvest,seed_storage,seed_drying,seed_cleaning,seed_sowing,seed_growth,seed_germination,seed_viability,seed_health,seed_quality,seed_yield,seed_productivity,seed_resilience,seed_disease,root_diameter_mm,incianation_days,compound,activity
Acmella oleracea (L.) R.K.Jansen,leaves,Ethanol:Water (7:3 v/v),static maceration,,Lactuca sativa,,,,,,{},,,,Phytotoxic activity tested on Lactuca sativa and weeds Calopogonium mucunoides and Ipomoea purpurea using extracts from Acmella oleracea and Sphagneticola trilobata.,0.0,0e41db7fbf44.pdf,792516fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca sativa,seeds,"hexane, dichloromethane, ethyl acetate",fractionation,,Lactuca sativa,,,,,,{},25.0,5.0,,,,0e41db7fbf44.pdf,792516fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,leaves,water,aqueous extraction,,Hordeum vulgare,,,,,,{},,,,"Eucalyptus globulus leaf aqueous extract (5%, 10%, 25%) inhibited barley germination and seedling growth, reduced mitotic index to 5.09% at 25%, and caused 35.25% chromosome abnormalities compared to control (9.1% and 5.25%).",0.0,051d54e96acc.pdf,2b364b9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus,leaves,distilled water,soaking for 12 hours at room temperature,,Hordeum vulgare,,,,,,{},,,,"Eucalyptus leaf extract (5-25% w/v) significantly reduced mitotic index and phase index in barley seeds, causing chromosomal abnormalities and inhibition of cell division.",0.0,051d54e96acc.pdf,2b364b9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus globulus,leaves,water,aqueous extraction,,barley,,,,,,{},,,,Genotoxic effect of Eucalyptus globulus extract on barley interphase cells confirmed via micronucleus assay.,0.0,051d54e96acc.pdf,2b364b9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,051d54e96acc.pdf,2b364b9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,distilled water,"soaked in distilled water for 24 hours, filtered through Whatman no.1 filter paper",,tomato,,,,,,{},25.0,2.0,,In vitro nematicidal activity of Lantana camara leaf extract against Meloidogyne spp. juveniles at 100% concentration showed 98.6% mortality after 48 hours.,0.0,1179e3a2f27b.pdf,55839e70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. europaeus and C. scoparius,flowering branches and flowers,n-pentane,continuous water distillation/solvent extraction,,Amaranthus retroflexus,redroot pigweed,,,,,{},,,,VOCs from U. europaeus and C. scoparius tested on weeds,0.0,1babd614b0e6.pdf,57e2d784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. europaeus,flowering branches,,,,A. retroflexus,,,,,,{},,,,VOCs from U. europaeus flowering branches inhibited root length by 40% and shoot length by 30% of control (P<0.01),0.0,1babd614b0e6.pdf,57e2d784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azadirachta indica,leaves,water,aqueous extraction,,,,,,,,{},,,,Neem extract used for pest control as per the study,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara Linn.,Leaf,,Crude Extracts,,,,,,,,{},,,,Castor grey rot (Botrytis ricini ),0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azadirachta indica A.Juss.,"Seed, Leaf",,Crude Extracts,,,,,,,,{},,,,Early blight of tomato,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calotropis procera (Ait.) R.Br.,Leaf,,Crude Extracts,,,,,,,,{},,,,Tikka leaf spot disease of groundnut,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azadirachta indica A.Juss.,Seed,,NSKE,,,,,,,,{},,,,Powdery mildew,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azadirachta indica A.Juss.,Leaf,,NSKE,,,,,,,,{},,,,Powdery mildew,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calotropis procera (Ait.) R.Br.,Leaf,,NSKE,,,,,,,,{},,,,Powdery mildew,0.0,14871ea58026.pdf,86b04861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,"leaves, stems, roots, fruits",,,,,,,,,,{},,,,"Lantana camara is a flowering ornamental plant in the Verbenaceae family with traditional uses including wound healing, skin treatments, and various pharmacological activities such as antioxidant, antimicrobial, anti-inflammatory, etc. It contains phytoconstituents like alkaloids, glycosides, saponins, steroids, terpenoids, flavonoids, and coumarins.",0.0,12f8311f470c.pdf,e215de49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,aerial parts,n-Hexane,maceration,,,,,,,,{},,,,"Lantana camara is a plant species used in traditional medicine with phytochemicals including flavonoids, alkaloids, and essential oils. It grows in disturbed areas and is utilized for furniture and brooms.",0.0,12f8311f470c.pdf,e215de49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,flowers,85% methanol,maceration,,,,,,,180.3,{},,,,"Lantana camara flowers extracted with 85% methanol showed highest total phenolic content (180.3 g GAE/g) and total flavonoid content (13.76 g CE/100g DW). Oleanolic acid detected via HPLC at 1.73, 2.44, 6.94 min. Phenolic acids (gallic acid, caffeic acid, p-coumaric acid) identified in chloroform and ethyl acetate fractions.",0.0,12f8311f470c.pdf,e215de49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,leaves,aqueous,in vivo,,,,,,,,{},,,,"Aqueous extract of L. camara leaves showed anti-hyperglycemic activity in alloxan-induced diabetic rats, increasing levels of alkaline phosphatase, alanine aminotransferase, and aspartate aminotransferase [61].",0.0,12f8311f470c.pdf,e215de49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,soil extract,,Maize,B73,,,,,{},,,,Allelopathic effect study on maize,0.0,0f33901d340f.html,c3ecf9b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,aqueous extraction,,Brassica chinensis,,,,,,{},,,,"Lantana and Siam weed debris reduced germination and growth of crops in lab, greenhouse, and field studies. Lantana extract at 66.7 g/L decreased germination of Chinese cabbage, chilli, and rape.",0.0,0f33901d340f.html,c3ecf9b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamarindus indica,leaf,water,soil extraction,,vegetables,,,,,,{},,,,Tamarindus indica leaf is a source of allelopathic substance,0.0,0f33901d340f.html,c3ecf9b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,in vitro,,Oryza sativa,,,,,,{},,,,The Allelopathic Effects of Lantana camara on Seed Germination and Growth of Selected Bioassay Species,0.0,0f33901d340f.html,c3ecf9b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lantana camara, Chromolaena odorata",,,,,,,,,,,{},,,,Allelopathic effect of Lantana (Lantana camara) and Siam Weed (Chromolaena odorata) on selected crops,0.0,0f33901d340f.html,c3ecf9b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,,0.0,0f33901d340f.html,c3ecf9b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,flowers,,gas chromatography-mass spectrometry,,Lantana camara,,,,,,"{""isospathulenol"": ""docking_score: comparable""}",,,,Lantana camara floral essential oil contains caryophyllene (15.51%) and sabinene (14.90%). Isospathulenol shows promising docking with SOD1 for ALS treatment.,0.95,24d8bb59f5fa.pdf,f2394281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,flowers,water,hydro-distillation,,,,,,,,{},,,,,0.0,24d8bb59f5fa.pdf,f2394281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantanacamara,flowers,,GC-MS,,Lantanacamara,,,,,,"{""sabinene"": ""14.90%"", ""eucalyptol"": ""8.14%"", ""caryophyllene"": ""15.51%"", ""humulene"": ""7.69%""}",,,,"Yellow essential oil with yield 0.1% v/w. Contains 22 compounds (97.87%). Monoterpenes: 48.91%, Sesquiterpenes: 48.96%",0.0,24d8bb59f5fa.pdf,f2394281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,fresh leaf extraction,,Lactuca sativa,,,,,,{},,,,Lantana camara aqueous extracts significantly inhibited lettuce germination and seedling growth at elevated temperatures (22-30°C),0.95,27435466c82e.pdf,63d44692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,leaves,distilled water,soaking in darkness for 24 hours,100.0,Lactuca sativa,,,,,,{},22.0,24.0,,"Bioassay with L. camara leaves on lettuce seeds at 22, 26, and 30°C; leachate concentration 0.1 g/mL; germination and seedling growth measured over 7 days",0.0,27435466c82e.pdf,63d44692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. camara,stem,water,leaching,,,,,,,,{},30.0,,,"At 30°C, stem length was four times higher and specific leaf area (SLA) increased by 22.1% compared to 22°C, enhancing photosynthesis and allelopathic effects, which may facilitate L. camara invasion.",0.0,27435466c82e.pdf,63d44692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara L.,,,,,,,,,,,{},,,,"Lantana camara L. is one of the 100 worst invasive alien plant species in Nepal's agroecosystems, posing significant threats to biodiversity and agricultural production systems.",0.0,1fdd72789761.pdf,8cf44d27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromolaena odorata,,,,,,,,,,,{},,,,"Chromolaena odorata is an invasive species in Nepal that reduces native understory species and displaces them, leading to decreased biodiversity.",0.0,1fdd72789761.pdf,8cf44d27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikania micrantha,weeds,,,,,,,,,,{},,,,Harmful to rhino food supply,0.0,1fdd72789761.pdf,8cf44d27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,{},,,,"Invasive alien plant species (IAPS) reduce crop yields, forage value, and biodiversity. Examples include Chromolaena odorata, Parthenium hysterophorus, and Argemone maxicana. Management strategies involve legislation, integrated pest management (IPM), and biological control. Some species exhibit medicinal properties (e.g., Bidens pilosa has anti-malarial and antimicrobial effects).",0.0,1fdd72789761.pdf,8cf44d27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,water,,,Tomato,,,,,,{},,,,Lantana camara leaf extract (25gm/75ml w/v) tested at 25-100% concentration on Meloidogyne incognita nematode in tomato plants.,0.0,239cfea7f590.pdf,9e05e812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,distilled water,soaking in distilled water for 24 hours followed by centrifugation,,tomato,Pusa Ruby,,,,,{},,,,"Experiment conducted to study biochemical changes in tomato plants infected with Meloidogyne incognita when treated with Lantana camara leaf extracts. Extract prepared by soaking 25g fresh leaves in 75ml distilled water for 24h, centrifuged. Juveniles exposed to 25%, 50%, 75%, 100% extract concentrations for 24, 48, 72, 96h. Higher concentrations showed increased egg hatch inhibition and juvenile mortality.",0.0,239cfea7f590.pdf,9e05e812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaf,80% ethanol,ethanol extraction,,Solanum lycopersicum,,,,,,{},28.0,,,"L. camara leaf extracts at 25% concentration showed stimulatory effect on plant growth, while higher concentrations (75%, 100%) showed inhibitory effects. Highest PPO and phenol activity observed at 100% concentration.",0.0,239cfea7f590.pdf,9e05e812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,,,,,,,,,{},,,,,,239cfea7f590.pdf,9e05e812,,,50%,Increased plant height,Reduced nematode population,"Ali NI, Siddiqui IA, Zaki MJ, Shuakat SS. Nematicidal potential of Lantana camara against Meloidogyne javanica mungbean. Nematologia Mediterranea 2001;29:99-102.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,seedlings,,,,Zea mays,L.,,,,,{},,,,Effects of allelochemical extracts from medicinal plants on physiological and biochemical mechanisms of maize (Zea mays L) seedlings.,0.0,239cfea7f590.pdf,9e05e812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryza sativa,,water,,,Oryza sativa,,76.67,,,,{},25.0,7.0,,Aqueous extract of Lantana camera leaf at 10% concentration inhibited germination of Oryza sativa with 23.33% inhibition rate (germination percentage 76.67%),0.0,2df62a0d7282.pdf,f4425cc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratum conyzoides L.,leaves and roots,distilled water,soaking in distilled water for 48 hours,,Oryza sativa,Sava,,,,,{},,,,Allelopathic effect of Ageratum conyzoides on rice varieties Sava and Geru,0.0,27959c57508c.pdf,c1ce796d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryza sativa,leaf,water,dry,,Oryza sativa,Sava,0,,,,{},,,,"Dry leaf extract (DLE) at 100% concentration caused complete inhibition (100%) in germination, shoot length, and root length for Sava variety.",0.0,27959c57508c.pdf,c1ce796d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. conyzoides,root,water,fresh,,rice,,,,,,{},,,,The dry aqueous extracts reduced germination parameters with increasing concentration. Laboratory differences are insufficient to establish allelopathic effects; further field evaluation required.,0.0,27959c57508c.pdf,c1ce796d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,distilled water,filtration and centrifugation,,Avena sativa,,,,,,{},25.0,7.0,,"Study on phytotoxic effects of Lantana camara leaf extracts on Avena sativa seed germination and seedling growth. Extract concentrations tested: 0%, 2.5%, 5.0%, 7.5%, and 10% (v/v).",0.0,2c34ec81d4d7.pdf,a1c00fbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,leaves,water,soaking,,Avena sativa,,,,,,{},20.0,,,Study on effects of L. camara extracts on Avena sativa seed germination,0.0,2c34ec81d4d7.pdf,a1c00fbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena sativa,seeds,water,aqueous extraction,,Avena sativa,,78,,,,{},,,,"Avena sativa seeds exposed to Lantana camara leaf extract at 2.5%, 5%, 7.5%, and 10% (vv-1) concentrations during phase III of germination showed reduced germination percentages (78% control to 54%, 43%, 14%, 6% at increasing concentrations).",0.0,2c34ec81d4d7.pdf,a1c00fbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,seeds,,,,,,,,,,{},,3.0,,"germination, there was a large increase in the MDA of their ability to form semiquinone radicals that levels at 72 h of germination (3.6 ± 0.1 μmol g-1), donate electrons to molecular oxygen, forming reactive oxygen species (Hammond-Kosak & Jones 1996). Conversely, the seeds removed from the extract within 48 h of germination had reduced MDA levels by 72 h of germination period of seed germination; however, there were...",0.0,2c34ec81d4d7.pdf,a1c00fbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina adenophora,leaf,water,soaking,,Oryza sativa L.,6444,,,,,{},,15.0,,Inhibition increased with extract concentration; dry leaf extracts showed higher allelopathic impact than fresh extracts. Rice variety 6444 demonstrated resistance to Ageratina adenophora.,0.0,3082d2ad5887.pdf,9bdbfd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oryza sativa,leaf,water,,,,,,,,,{},,,,,0.95,3082d2ad5887.pdf,9bdbfd62,,,,,,,45.3,0.39,0.032,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. adenophora,leaves,,,,Oryza sativa,"6444, 2245",,,,,{},,,,"The present study showed suppressive effects of A. adenophora leaf extracts on germination, fresh weight, dry weight, relative water content, hypocotyl length, radicle length, total seedling length, and seed vigor index of rice varieties 6444 and 2245. Fresh and dry leaf extracts demonstrated stronger allelopathic activity compared to root extracts (Namvar et al., 29).",0.0,3082d2ad5887.pdf,9bdbfd62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
