plant_species,plant_part,extraction_solvent,extraction_method,concentration_mg_per_ml,crop_species,crop_variety,germination_percent,root_length_mm,shoot_length_mm,total_phenolic_content_mg_gae_per_g,compound_lantadene_a,compound_lantadene_b,compound_lantadene_c,compound_lantadene_d,compound_icterogenin,compound_luteolin,compound_hispidulin,compound_quercetin,compound_kaempferol,compound_caffeic_acid,compound_chlorogenic_acid,compound_caryophyllene,compound_alpha_humulene,compound_alpha_pinene,compound_camphene,compound_linalool
lantana camara,leaf,methanol,solvent extraction,102.7072,lactuca sativa,,6.829593350090022,4.525023639452271,5.7280059207066065,37.23,0.9311999332443257,0.68826838924776,0.751458576429405,0.7443671766342141,0.9968697829716194,0.7718365645194915,0.7159812771648278,0.3782853566958698,0.9551906484831617,0.5206735578526176,0.6275803563012536,0.7454941389056202,0.8013392857142857,0.3874134764797288,0.36272573363431154,0.6193158114309554
lantana camara,leaf,ethanol,solvent extraction,50.0906,zea mays,,22.37338401271717,14.293760153831343,19.859440681652735,36.57,0.9996662216288384,0.6930610543863305,0.7949658276379398,0.7279554937413073,0.7852671118530885,0.8125912028351053,0.7771648278167836,0.4208385481852316,0.8118563874199832,0.5198399466488829,0.7649165802620417,0.9105314367789465,0.9873744419642857,0.3893911569430711,0.35073363431151244,0.6186900292031707
chromolaena odorata,leaf,aqueous,aqueous extraction,99.8134,zea mays,,9.30344117064122,6.547806233298216,9.315437433482412,19.26,0.0,0.0,0.0,0.0,0.0,0.6487387950802586,0.0,0.6905506883604506,0.0,0.4983327775925308,0.0,0.2732242969003383,0.0,0.3330272637378161,0.0,0.0
parthenium hysterophorus,leaf,methanol,solvent extraction,49.9488,oryza sativa,,22.589746218925285,18.16784551230611,21.76865320800658,55.14,0.0,0.0,0.0,0.0,0.0,0.41953304148426107,0.0,0.6666666666666667,0.0,0.7518339446482161,0.646243755302102,0.2337951165268962,0.0,0.0,0.0,0.0
humulus scandens,root,ethyl_acetate,Soxhlet extraction,2.0,a. philoxeroides,,58.620161239598424,0.31,0.17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4606800166875261,0.0,0.5060853617872624,0.5435008012065228,0.25093823842839275,0.0,0.18434807176154824,0.0,0.0
acmella oleracea,aerial,ethanol,solvent extraction,50.9737,lactuca sativa,,21.90458494283071,15.980077064932114,19.487301534987914,50.98,0.0,0.0,0.0,0.0,0.0,0.6377944548676256,0.0,0.5588235294117647,0.0,0.6848949649883294,0.0,0.0,0.0,0.0,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,9.9145,zea mays,,55.911247223548315,49.37248813513089,58.91810463186685,17.28,0.7731558744993324,0.725845662290755,0.885480913485581,0.7593880389429764,0.6894824707846411,0.9508025849489264,0.8179538615847542,0.3718189403420943,0.9215140551071528,0.5110036678892964,0.5334150249787916,0.9171106889681695,0.7813197544642857,0.3292131657013702,0.30883182844243795,0.532540675844806
lantana camara,leaf,ethanol,solvent extraction,24.8084,zea mays,,43.94936130389711,30.929876185171338,39.09683193551427,51.43,0.9547313084112149,0.8829617281378065,0.8068011335222537,0.7304589707927677,0.7808848080133556,0.9188034188034188,0.9503510531594783,0.4787234042553192,0.6802115224046758,0.5114204734911637,0.5849750212084079,0.8365380160311356,0.9118303571428571,0.40535386354004804,0.36851015801354403,0.6581143095536087
lantana camara,leaf,aqueous,aqueous extraction,4.9329,oryza sativa,,71.28183063097492,65.39715296669947,79.6345100082318,3.54,0.8925650867823766,0.8418420504271723,0.8844807467911319,0.9744089012517385,0.7013772954924875,0.9464248488638733,0.6957539284520227,0.4809136420525657,0.9343167269691066,0.574108036012004,0.7122254689414648,0.7294630032896261,0.8360770089285715,0.2871874558553468,0.3843115124153499,0.5569461827284106
lantana camara,stem,aqueous,aqueous extraction,10.3902,zea mays,,75.91487138589287,59.42404435452957,74.61615607044463,20.38,1.0,0.6880600125026047,0.9424904150691782,0.8809457579972183,0.9131886477462439,0.9483010214717533,0.6877298562353727,0.46339173967459324,0.7937656554411355,0.4608202734244748,0.5734753511169761,0.9677987304823242,0.7025669642857142,0.2886000847577342,0.3895316027088036,0.6812682519816438
ageratina adenophora,leaf,aqueous,aqueous extraction,4.9636,oryza sativa,,42.91166763942077,42.496151191694786,53.012302783723264,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49989570296203595,0.0,0.6675558519506501,0.0,0.29342538108696664,0.2509765625,0.0,0.0,0.0
parthenium hysterophorus,whole plant,aqueous,aqueous extraction,0.0,triticum aestivum,,57.257536846205205,52.81660078206148,64.20127512495807,19.76,0.0,0.0,0.0,0.0,0.0,0.46331040233479265,0.0,0.6630162703379224,0.0,0.8543681227075692,0.8002639268545575,0.22383357271926982,0.0,0.0,0.0,0.0
lantana camara,stem,aqueous,aqueous extraction,51.9372,zea mays,,26.60083982651836,17.562580538284244,23.46359772556505,12.96,0.7326435246995994,0.6757657845384455,0.8513085514252376,0.9012517385257302,0.8841819699499166,0.686366479049406,0.6955867602808424,0.4550479766374636,0.9565822432507654,0.42880960320106704,0.6039211989819965,0.8363990177454479,0.9833984375,0.31890097471394263,0.30671557562076746,0.6236962870254485
ageratina adenophora,leaf,aqueous,aqueous extraction,49.1408,oryza sativa,,16.949489718517462,13.172324980186923,15.264545502501338,17.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047142261159784,0.0,0.6194564854951651,0.0,0.30310892832321734,0.23744419642857142,0.0,0.0,0.0
lantana camara,root,aqueous,soil water extraction,0.0,oryza sativa,,80.45958516085757,10.8,27.7,,0.7038134178905207,0.7418906716677085,0.9311551925320888,0.9504867872044506,1.0,0.8262455701480091,0.8340020060180541,0.4017521902377973,0.8577790147509045,0.5105868622874291,0.748703930624941,0.9703006996247047,0.9346400669642856,0.3476479728775251,0.28442437923250563,0.5208594075928243
lantana camara,leaf,aqueous,aqueous extraction,9.8147,zea mays,,60.09093270531345,49.275336607213355,68.24805838137095,13.89,0.9544392523364487,0.8162811696881295,0.7599599933322221,0.9532684283727398,0.7979966611018364,0.8084219303731499,0.9796054831160147,0.41760534000834376,0.9922070693014194,0.4519006335445148,0.6610425110755019,0.6844275587267757,0.9861886160714285,0.3201017092809719,0.2950056433408578,0.6268251981643722
lantana camara,leaf,aqueous,aqueous extraction,24.7653,zea mays,,39.85482642867654,32.61362583857562,40.69892620234644,18.33,0.785130173564753,0.9040077793984859,0.6729454909151525,0.8141863699582753,0.882721202003339,0.831874087971649,0.7691407556001337,0.4134334584897789,0.7881992763707208,0.44506502167389134,0.5400131963427279,0.7348376036695548,0.890625,0.38494137590055094,0.4166196388261851,0.650604922820192
lantana camara,leaf,aqueous,aqueous extraction,2.488,zea mays,,68.62470387420537,64.70328967084053,81.04232321402726,21.8,0.8682827102803738,0.9214419670764743,0.7617936322720454,0.9304589707927677,0.8789649415692821,0.7820512820512822,0.8095954530257439,0.35043804755944935,0.9293069858057333,0.5886962320773591,0.5336978037515318,0.793216883658435,0.8472377232142857,0.3663653058341574,0.3548250564334086,0.5060492282019191
chromolaena odorata,leaf,aqueous,aqueous extraction,4.9496,zea mays,,66.21459162585045,61.15169600079042,73.75465714699781,16.22,0.0,0.0,0.0,0.0,0.0,0.6404002501563477,0.0,0.7367542761785566,0.0,0.42289096365455153,0.0,0.2774869109947644,0.0,0.3196779206102557,0.0,0.0
lantana camara,leaf,ethyl_acetate,solvent extraction,105.0987,sorghum bicolor,,7.9217271615867215,5.0673956489654195,6.9045613424182894,32.71,0.7233811748998665,0.9918733069389456,0.7517919653275545,0.909596662030598,0.9334307178631052,0.9037940379403794,0.921765295887663,0.48998748435544437,0.9707765098803228,0.5148382794264755,0.6807427655763975,0.8111013297502665,0.9441266741071428,0.39546546122333665,0.31729683972911965,0.7413433458489779
lantana camara,root,aqueous,rhizospheric soil,0.0,triticum aestivum,,33.3,7.3,13.1,,0.8821762349799732,0.9558935889421407,0.9998333055509252,0.8723226703755216,0.9649415692821368,0.7680842193037315,0.7922099632230023,0.3731748018356279,0.9229056498747564,0.5861953984661553,0.6592515788481478,0.9179910114441922,0.7746930803571428,0.32109054951264304,0.34410270880361177,0.533375052148519
lantana camara,leaf,aqueous,aqueous extraction,24.1216,oryza sativa,,39.33296794697949,33.719456563210784,35.822831138495175,19.32,0.69505173564753,0.8323956379801347,0.9628271378563094,0.8778859527121001,0.8418196994991652,0.8576193454242235,0.8099297893681042,0.4273049645390072,0.7823545783467855,0.4579026342114038,0.5915731925723442,0.9681230598155957,0.9634486607142857,0.4180675236615341,0.4136568848758465,0.5577805590321235
lantana camara,leaf,aqueous,aqueous extraction,101.3578,zea mays,,8.357344055500965,5.873823689120923,7.466104561802506,7.71,0.8525534045393859,0.8741404459262346,0.87031171861977,0.8756606397774687,0.7128547579298832,0.7393162393162394,0.8990304246071548,0.4856070087609512,0.7664903979961035,0.5139213071023674,0.6043924969365633,0.8960756150674142,0.9564034598214286,0.2934736544709705,0.32562076749435664,0.6921151439299125
chromolaena odorata,leaf,aqueous,aqueous extraction,10.0546,zea mays,,59.860747204019404,53.43012479782727,73.35399144462373,9.19,0.0,0.0,0.0,0.0,0.0,0.6332082551594748,0.0,0.9712140175219024,0.0,0.4311437145715238,0.0,0.2641430755687347,0.0,0.28365588359937843,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,50.3834,oryza sativa,,25.831677410349563,17.109065592409035,22.440353978215413,22.41,0.7916388518024032,0.6820170868931028,0.9291548591431905,0.8122392211404729,0.8140651085141903,0.8214509068167606,0.9450016716817117,0.4478514810179391,0.8828277205677707,0.5301767255751917,0.5992082194363276,0.740582866144651,0.9416852678571428,0.38656589913829636,0.3457957110609481,0.5561118064246976
rhazya stricta decne,leaves,dry powder,sandwich method,0.0,phalaris minor,minor,31.0,78.03551273462116,89.68377355898997,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48904881101376724,0.0,0.5561853951317105,0.46111791874823266,0.24204234814437292,0.0,0.17248198898149458,0.0,0.0
tomato,Roots,pda,Food poisoning technique,0.01,tomato,Peto 86,74.16004451076117,67.44732377519696,80.4875068975683,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47653316645807264,0.0,0.5932810936978993,0.5586765953435762,0.20270583329472272,0.0,0.21987568865658993,0.0,0.0
lantana camara,leaves,aqueous,crushed and soaked,25.0,oryza sativa,,93.4,38.573310650002156,52.53161660007434,,0.9594042056074766,0.674793359727721,0.8403067177862978,0.8222531293463142,0.8981636060100168,0.8063372941421723,0.7082915412905383,0.46641635377555285,0.9476760367381019,0.45706902300766916,0.608068620982185,0.8554881156465737,0.9984654017857143,0.3682723548523803,0.33436794582392776,0.607008760951189
chromolaena odorata,leaf,aqueous,aqueous extraction,9.9975,oryza sativa,,66.05961252396818,57.329117022921906,71.93309965011882,16.13,0.0,0.0,0.0,0.0,0.0,0.7453616843860746,0.0,1.0,0.0,0.40396798932977657,0.0,0.30144094889496365,0.0,0.23513208080237324,0.0,0.0
chromolaena odorata,leaf,aqueous,aqueous extraction,0.0,zea mays,,69.76937692239211,65.50658832400777,82.13097258169566,20.13,0.0,0.0,0.0,0.0,0.0,0.6675005211590578,0.0,0.7924488944513977,0.0,0.4689896632210737,0.0,0.33044525784181994,0.0,0.32561096200028256,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,26.4569,zea mays,,42.94637705316726,31.727453925587273,37.275835402636034,16.34,0.9369158878504673,0.9791623254844759,0.8689781630271712,0.9045897079276772,0.9060934891485809,0.6801125703564729,0.8340020060180541,0.354401335002086,0.7475647091566936,0.5495998666222074,0.5623527193891978,0.9516285965806424,0.8611188616071429,0.3127560389885577,0.330558690744921,0.7259073842302879
lantana camara,leaf,methanol,solvent extraction,10.1404,lactuca sativa,,49.09364879916791,43.631601009478864,53.14470262437509,61.36,0.7188334445927903,0.9257484198096825,0.7161193532255377,0.972461752433936,0.8407762938230384,0.7617260787992496,0.8085924439986626,0.3878806841885691,0.9345950459226273,0.5916972324108035,0.7588839664435857,0.6709447250150582,1.0,0.313956773555587,0.30601015801354403,0.7046307884856071
eucalyptus globulus,leaf,aqueous,aqueous extraction,2.5494,hordeum vulgare,,61.185856309404066,54.9597166149054,65.79322519918887,21.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3857119039679893,0.9660665472711849,0.3547699578371867,0.0,0.8951829354428592,0.8621613995485327,0.708802670004172
lantana camara,leaf,aqueous,aqueous extraction,2.5319,oryza sativa,,74.43200213381297,64.91428240672842,85.61534261786244,8.92,0.7259679572763684,0.921789261651733,0.7869644940823471,0.9287899860917941,0.7366444073455759,0.7276422764227642,0.8457037780006686,0.45171047142261167,0.8600055663790703,0.4187229076358786,0.750683382034122,0.766853542139647,0.8554687499999999,0.32970758581720583,0.34706546275395034,0.5686274509803922
chromolaena odorata,leaf,aqueous,aqueous extraction,0.0,oryza sativa,,77.15273901800188,65.70196072788937,83.1421612494984,15.07,0.0,0.0,0.0,0.0,0.0,0.5229309985407548,0.0,0.7826449728827701,0.0,0.4164721573857953,0.0,0.31552610851132834,0.0,0.24389037999717475,0.0,0.0
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.0,triticum aestivum,,56.4171015275041,55.563406570396744,63.4269020723888,26.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4234744914971657,0.991987934772363,0.34244544317286757,0.0,0.8032914253425625,0.7700338600451467,0.9109303295786401
lantana camara,leaf,aqueous,aqueous extraction,99.495,phaseolus vulgaris,,9.942966246941397,5.976242120830011,8.002681156675736,13.53,0.8754172229639519,0.8382996457595333,0.903817302883814,0.8358831710709318,0.9697412353923206,0.7818428184281844,0.8421932464058843,0.3825615352523989,0.934873364876148,0.4998332777592531,0.7721745687623716,1.0,0.7079380580357142,0.4028817629608702,0.360186230248307,0.7167292448894452
melilotus indica,whole plant,aqueous,water extraction,50.0,wheat,wheat,81.0,21.00460135197526,26.357967681485583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42740926157697123,0.0,0.5517672557519173,0.5328494674333113,0.2210536070055136,0.0,0.19247068795027547,0.0,0.0
eucalyptus globulus,leaf,aqueous,aqueous extraction,9.9668,hordeum vulgare,,53.50408052959602,41.836486611745826,53.83442267364702,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945481827275758,0.9221415779055518,0.33581985822174865,0.0,0.8410086170363046,0.7652370203160271,0.7480183562786817
lantana camara,leaf,aqueous,aqueous extraction,0.0,zea mays,,68.96617979696727,60.71320680699684,72.77193766613702,7.77,0.8308578104138853,0.714037646731958,0.7176196032672112,0.8970792767732962,0.6836393989983305,0.9481967896602043,0.8179538615847542,0.4928035043804756,0.8853325911494573,0.42330776925641883,0.7614289753982467,0.9186396701107354,0.7651367187499999,0.3298488487074446,0.35553047404063204,0.7123487692949521
lantana camara,leaf,ethanol,solvent extraction,0.0,zea mays,,60.41263196044318,58.34776977046177,66.83975487669541,54.32,0.9473047396528704,0.7141765645620616,0.8423070511751959,0.7243393602225313,0.9409432387312188,0.8049822805920367,0.9441658308258106,0.37661660408844394,0.9919287503478987,0.5571023674558185,0.7832029408992365,0.7530463790946579,0.8379603794642857,0.3039977397937562,0.362020316027088,0.5886524822695036
lantana camara,leaf,aqueous,aqueous extraction,10.0825,zea mays,,59.82780231236798,55.9133519762739,61.84854857090968,12.44,0.9568174232309746,0.9155379592970757,0.9619936656109352,0.7396383866481223,0.8451585976627712,0.6774025432562018,0.8012370444667335,0.49144764288694204,0.6849429446145282,0.5501000333444481,0.5958148741634461,0.8551637863133023,0.8355887276785714,0.290295239440599,0.40420428893905197,0.5878181059657906
parthenium hysterophorus,leaves,aqueous,,0.0,sorghum bicolor,,93.0,55.152548742398835,70.55376079592342,,0.0,0.0,0.0,0.0,0.0,0.43673129038982705,0.0,0.5949103045473508,0.0,0.721407135711904,0.8048826468093129,0.18903766853542142,0.0,0.0,0.0,0.0
lantana camara,root,aqueous,aqueous extraction,99.1149,triticum aestivum,,11.566906325099884,7.553456303935216,9.501263816575232,22.82,0.975425567423231,0.8524692644300895,0.7342890481746959,0.8962447844228094,0.8510016694490818,0.6704190118824266,0.9747576061517887,0.40967876512307055,0.9866406902310048,0.4574858286095365,0.7565274766707513,0.6792846221563268,0.9559849330357143,0.30555163158638227,0.3419864559819413,0.6276595744680852
lantana camara,leaf,ethyl_acetate,solvent extraction,25.3569,sorghum bicolor,,43.21302248088341,33.00036964360627,45.644794193766515,31.47,0.7837116154873164,0.9843022851983051,0.8718119686614437,0.7949930458970793,0.6807178631051753,0.913174900979779,0.72584419926446,0.4047768043387568,0.8305037573058726,0.43706235411803934,0.552832500706947,0.9602001575313905,0.7774832589285715,0.36325752224890523,0.28964446952595935,0.5702962035878182
phaseolus vulgaris l.,leaf,aqueous,dilution of ground L. camara powder in distilled water,80.0,phaseolus vulgaris,Nasir,12.074357615667877,8.462921258926496,11.293542448816387,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4165623696287026,0.0,0.5488496165388462,0.5376567065698935,0.22851318167075943,0.0,0.17000988840231673,0.0,0.0
lantana camara,leaf,ethanol,solvent extraction,2.4773,zea mays,,63.371097666593045,56.03299847196794,75.46781988204788,60.79,0.975425567423231,0.6960477877335557,0.704784130688448,0.9780250347705145,0.9841402337228715,0.7191994996873047,0.7034436643263122,0.5006257822277848,0.8199276370720847,0.5746915638546182,0.6551984164388727,0.7292313394801465,0.7779017857142857,0.36551772849272496,0.34466704288939054,0.6804338756779308
lantana camara,stem,aqueous,aqueous extraction,0.0,zea mays,,71.21315570368282,69.33561339208373,80.57768825858048,17.37,0.7491655540720961,0.9611030075710217,0.791465244207368,0.8164116828929068,0.8046744574290484,0.8730456535334584,0.7193246405884319,0.36973299958281186,0.7581408293904816,0.5197565855285096,0.6444528230747478,0.6997173701524348,0.8867885044642856,0.39313462353439754,0.35214446952595935,0.6545682102628285
parthenium hysterophorus,leaf,aqueous,aqueous extraction,5.0587,zea mays,,62.09618497126096,51.477037874061715,67.86597336854959,21.06,0.0,0.0,0.0,0.0,0.0,0.3482384823848239,0.0,0.5824989570296204,0.0,0.7219073024341447,0.9013102083136959,0.208358430246027,0.0,0.0,0.0,0.0
avena sativa,seeds,aqueous,aqueous extraction,25.0,avena sativa,,78.0,41.389077934255255,50.441140466328285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41489361702127664,0.0,0.41005335111703894,0.49043265152229243,0.2094240837696335,0.0,0.20497245373640346,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,98.5128,oryza sativa,,9.278102214395176,6.804289254256026,8.775682885931,15.06,0.9205607476635514,0.9800652913801486,0.8871478579763294,0.8116828929068151,0.9173622704507512,0.9230769230769231,0.7945503176195252,0.3971631205673759,0.812134706373504,0.563187729243081,0.6124988217551136,0.7490617615716074,0.73974609375,0.36558835993784433,0.291196388261851,0.5588235294117647
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.0,hordeum vulgare,,54.27689359606092,47.6461380241964,64.7648283214478,11.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3480326775591864,0.9234612121783392,0.36366584812120656,0.0,0.8696849837547677,0.8628668171557562,0.7511472674176054
parthenium hysterophorus,leaf,methanol,solvent extraction,50.2488,oryza sativa,,22.57014786875924,16.373701328854892,19.557845956403604,53.19,0.0,0.0,0.0,0.0,0.0,0.4002501563477173,0.0,0.5785356695869838,0.0,0.9751583861287095,0.7902724102177396,0.19770189500996158,0.0,0.0,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,5.0707,phaseolus vulgaris,,73.96069904350773,64.24393464396104,80.98050853777072,16.48,0.6698097463284378,0.7628672640133362,0.9173195532588766,0.9324061196105702,0.8747913188647747,0.9797790285595165,0.9704112337011033,0.3371923237380059,0.9323684942944614,0.49041347115705236,0.7362616646243755,0.8537738034564241,0.6699916294642857,0.2874699816358243,0.39249435665914223,0.7486441385064665
mesosphaerum suaveolens,seeds,chloroform,GC-MS,1.0,mesosphaerum suaveolens,,85.9959043807637,68.66812864485415,91.10059759166377,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4108260325406759,0.0,0.49041347115705236,0.48411725893109625,0.24639762776259092,0.0,0.21648537929086029,0.0,0.0
parthenium hysterophorus,leaf,methanol,methanol extraction,25.0,cucumber,,76.0,30.72019070229159,41.35417115001738,,0.0,0.0,0.0,0.0,0.0,0.39316239316239315,0.0,0.5144972882770129,0.0,0.7737579193064354,0.712036949759638,0.2098874113885929,0.0,0.0,0.0,0.0
acmella oleracea,aerial,ethanol,solvent extraction,50.5197,lactuca sativa,,19.700975819453923,15.83801425059245,17.83071065793571,37.05,0.0,0.0,0.0,0.0,0.0,0.8685636856368565,0.0,0.5599707968293701,0.0,0.5525175058352784,0.0,0.0,0.0,0.0,0.0,0.0
azadirachta indica,leaves,ethanol,leaf-dip,100.0,cabbage,,10.696647634647583,6.806781605911188,8.170843633478068,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39173967459324155,0.0,0.5714404801600533,0.4959939673861815,0.2467219570958625,0.0,0.22644441305269106,0.0,0.0
lantana camara,leaves,methanolic,sandwich method,0.0,wheat,Wafaq-2001,65.0,68.3205067099868,87.00504712586688,,0.943508010680908,0.9760366743071472,0.8659776629438241,0.8909596662030597,0.6853088480801336,0.9082760058369815,0.7987295218990303,0.36952440550688365,0.8558307820762594,0.5512670890296766,0.5958148741634461,0.7741741185192049,0.7854352678571428,0.3359937844328295,0.3055869074492099,0.5244055068836045
lantana camara,leaf,ethyl_acetate,solvent extraction,10.1526,sorghum bicolor,,61.467545063648515,47.45995904113651,66.52785038887079,26.73,0.7735730974632844,0.6944502326873654,0.7196199366561095,0.8066759388038942,0.9613939899833056,0.7495309568480301,0.9558676028084252,0.38339591155611186,0.7381018647369886,0.4619873291097032,0.581487416344613,0.7260807116712228,0.68701171875,0.38932052549795165,0.3370485327313769,0.5882352941176471
eucalyptus globulus,leaf,aqueous,aqueous extraction,0.98,triticum aestivum,,60.7740524041869,54.19617380810449,63.23507364979857,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43197732577525844,0.8896220190404375,0.34443775193439286,0.0,0.9614352309648256,0.740265237020316,0.7407175636211932
lantana camara,leaf,aqueous,aqueous extraction,9.8676,zea mays,,54.50796052932127,47.009152093127696,56.32300846194992,17.43,0.6712283044058746,0.7263318746961173,0.9681613602267045,0.850904033379694,0.7178631051752922,0.8693975401292474,0.8172851889000334,0.4076971214017522,0.6919009184525466,0.5607702567522508,0.7635969459892545,0.6855395450122782,0.8643973214285714,0.28556293261760135,0.30403498871331824,0.713183145598665
parthenium hysterophorus,leaf,methanol,solvent extraction,9.6433,oryza sativa,,60.07319203230535,50.25956255805657,60.48628710583653,75.18,0.0,0.0,0.0,0.0,0.0,0.4924953095684803,0.0,0.5011472674176054,0.0,1.0,0.727589782260345,0.18718435805958394,0.0,0.0,0.0,0.0
lantana camara,leaf,aqueous,aqueous extraction,2.5596,oryza sativa,,63.47667938204374,56.87858411601787,63.37492864800114,19.64,0.6813251001335113,0.7001458637216087,0.8851475245874312,1.0,0.6729966611018364,0.8731498853450074,0.8955198930123704,0.45838548185231537,0.840523239632619,0.5209236412137379,0.6323875954378357,0.8982995876384192,0.6780133928571429,0.31960728916513637,0.28654063205417607,0.6166040884438883
